顧客ID,生年月日,性別,携帯TEL,自宅TEL,携帯メール,PCメール,職業
"002123261","19860630","女","有","無","無","有","会社員"
"002123272","19900622","女","有","無","有","無","会社員"
"002123295","19961018","男","有","無","無","有","学生"
"002123297","19930130","女","有","無","有","無",""
"002123298","19830116","女","有","無","無","有","会社員"
"002123300","19910929","女","有","無","有","無","会社員"
"002132352","19780927","女","有","無","有","無",""
"002132353","19910504","女","有","無","有","無","会社員"
"002140012","19700604","女","有","有","有","有","会社員"
"002142134","19610701","女","有","有","無","有","会社員"
"002142152","19850223","女","有","無","無","有",""
"002152059","19800902","女","有","無","有","無","その他"
"002152765","19920427","女","有","無","有","有","会社員"
"002152833","19930925","女","有","無","有","有","会社員"
"002152849","19670116","女","有","無","無","有","会社員"
"002152923","19891121","女","有","無","無","有","会社員"
"002152955","19810101","男","有","有","無","有","会社員"
"002153002","19701204","男","有","無","無","有","自営業"
"002153051","19931209","女","有","無","有","無","パート・アルバイト"
"002153095","19871011","男","有","無","無","有",""
"002153138","19900111","男","有","無","有","無","会社員"
"002153142","19910916","女","無","有","無","有","会社員"
"002153166","19891010","女","有","無","無","有",""
"002153173","19840813","女","有","無","無","有",""
"002153174","19821024","女","有","無","無","有",""
"002153175","19951022","女","有","無","無","有","会社員"
"002153176","19611120","女","有","無","無","有","自営業"
"002153177","19930901","女","有","無","無","有","その他"
"002212263","19800115","女","有","無","無","有","自営業"
"002212366","19770410","女","有","無","有","有","会社員"
"002212894","19911201","男","有","無","無","有","会社員"
"002212967","19921104","女","有","無","無","有","会社員"
"002212971","19980811","女","有","無","有","無","学生"
"002212973","19860920","女","有","無","有","無","会社員"
"002212976","19950721","男","有","有","無","有","会社員"
"002212978","19790704","男","有","無","有","無",""
"002212979","19831230","女","有","無","無","有","会社員"
"002212980","19900403","女","有","無","有","無","会社員"
"002212981","19850724","女","有","無","無","有","会社員"
"002220105","19800722","女","有","無","有","無","会社員"
"002222176","19831110","男","有","有","無","有","会社員"
"002222195","19840504","女","有","無","無","有","会社員"
"002222307","19880524","女","有","有","有","無","会社員"
"002222375","19851111","女","有","無","無","有","パート・アルバイト"
"002222388","19580120","女","有","無","有","無",""
"002222401","19920702","女","有","無","無","有","会社員"
"002232351","19910724","女","有","無","無","有","会社員"
"002232369","19831221","女","有","無","無","有","会社員"
"002232383","19871003","女","有","無","無","有","主婦"
"002232386","19901228","女","有","無","無","有","会社員"
"002232387","19950620","女","有","無","無","有","主婦"
"002232388","19940311","男","有","無","無","有","会社員"
"002242010","19810405","女","有","無","無","有",""
"002251012","19740712","女","有","無","有","有","その他"
"002251240","19650630","女","有","有","有","有",""
"002252268","19790425","女","有","無","有","有","会社員"
"002252292","19830509","女","有","無","有","有","会社員"
"002252403","19730426","女","有","無","無","有","会社員"
"002252456","19720903","女","有","無","有","無","パート・アルバイト"
"002252531","19760717","女","有","無","無","有","会社員"
"002252541","19771213","女","有","有","有","無","会社員"
"002252564","19861215","女","有","無","無","有","その他"
"002252646","19860326","男","有","無","無","有","自営業"
"002252697","19950328","女","有","無","無","有","会社員"
"002252703","19980727","男","有","無","無","有","会社員"
"002252704","19920619","女","有","無","無","有","会社員"
"002252708","19990303","女","有","無","有","無","学生"
"002252709","19491117","男","有","無","無","有","その他"
"002311149","19790927","女","有","無","無","有","自営業"
"002312096","19791002","女","有","無","無","有","会社員"
"002312708","19710201","女","有","無","無","有","主婦"
"002312793","19631128","男","有","無","無","有","会社員"
"002312794","19910321","女","有","無","無","有","主婦"
"002312797","19730404","女","有","無","無","有","会社員"
"002312870","19850620","女","有","無","無","有","主婦"
"002312875","19911220","男","有","無","無","有","その他"
"002312876","19741012","女","有","無","有","無","会社員"
"002312881","19881216","女","有","無","無","有",""
"002312890","19660222","女","有","無","無","有","会社員"
"002312894","19950322","女","有","無","有","無","会社員"
"002312895","19880426","男","有","無","無","有","会社員"
"002312897","19940223","女","有","無","有","無","会社員"
"002321013","19490519","男","有","有","有","有","会社員"
"002322187","19751117","男","有","有","無","有","自営業"
"002322335","19630112","女","有","有","無","有","自営業"
"002322538","19871205","男","有","無","有","無","会社員"
"002322551","19731003","女","有","無","無","有","会社員"
"002322599","19680130","女","有","無","無","有","主婦"
"002322604","19780729","女","有","無","無","有","会社員"
"002322609","19861109","女","有","無","無","有",""
"002322615","19990329","女","有","無","無","有","学生"
"002322616","19930803","女","有","無","有","無","会社員"
"002322621","19910321","女","有","無","無","有","会社員"
"002322625","19791227","男","有","無","無","有","会社員"
"002322627","19830925","女","有","無","無","有",""
"002332270","19620419","男","有","有","無","有","会社員"
"002332313","19801104","女","有","無","有","有","パート・アルバイト"
"002332460","19840911","女","有","無","有","無","会社員"
"002332530","19810910","男","有","無","無","有","会社員"
"002342092","19830815","女","有","無","無","有","会社員"
"002342118","19840828","女","有","無","無","有",""
"002352031","19761215","女","有","無","無","有","会社員"
"002411247","19780628","女","有","有","無","有","会社員"
"002411289","19850508","女","有","有","無","有","主婦"
"002412443","19700325","女","有","有","有","有","会社員"
"002412649","19700928","女","有","無","無","有","会社員"
"002412885","19710903","女","有","無","有","無","主婦"
"002412928","19760424","女","有","無","無","有","会社員"
"002412940","19560322","女","有","無","有","無",""
"002413004","19901106","女","有","無","無","有","会社員"
"002413059","19920318","女","有","無","有","無","会社員"
"002413091","19920605","女","有","無","有","無","会社員"
"002413092","19900222","女","有","無","有","無","会社員"
"002413105","19830907","男","有","無","有","無","会社員"
"002413108","19921116","男","有","無","有","無","会社員"
"002413119","19901010","女","有","無","無","有","会社員"
"002413131","19830127","女","有","無","無","有","会社員"
"002413135","19630402","女","有","無","有","無",""
"002422108","19880420","女","有","無","無","有",""
"002432011","19761017","女","有","無","有","有","会社員"
"002432182","19871221","女","有","無","有","無","会社員"
"002432208","19900629","女","有","無","有","無","会社員"
"002451112","19710903","女","有","有","有","無",""
"002452268","19870703","女","有","無","有","無","自営業"
"002512412","19740201","女","有","有","無","有","会社員"
"002512488","19651028","女","有","無","有","有","会社員"
"002512657","19740501","男","有","無","無","有","自営業"
"002512719","19820930","男","有","無","無","有","会社員"
"002512736","19930204","女","有","無","無","有","会社員"
"002512737","19960310","女","有","無","無","無",""
"002522238","19900327","男","有","無","無","有","会社員"
"002522243","19931220","女","有","無","無","有","会社員"
"002522244","19830718","女","有","無","無","有","会社員"
"002522245","19951101","男","有","無","有","無","会社員"
"002552115","19740702","女","有","無","有","無","会社員"
"002552161","19920922","女","有","無","無","有","会社員"
"002610121","19660910","女","有","有","有","有","会社員"
"002612073","19750910","女","有","無","有","有","会社員"
"002612346","19721030","女","有","有","無","有","会社員"
"002612541","19670808","男","有","無","有","無","会社員"
"002612555","19870124","女","有","無","無","有","会社員"
"002612568","19701201","女","有","無","無","有","会社員"
"002612583","19930306","女","有","無","無","有","会社員"
"002612606","19741215","女","有","無","無","有",""
"002612607","19850914","女","有","無","無","有","主婦"
"002622078","19810521","女","有","有","有","有","会社員"
"002630057","19761227","女","有","有","無","有","その他"
"002631145","19860124","女","有","有","無","有","会社員"
"002631152","19720922","女","有","無","有","無","会社員"
"002632193","19670401","女","有","有","有","有","主婦"
"002632206","19771229","女","有","無","無","有","会社員"
"002632237","19700119","女","有","無","有","無","会社員"
"002632263","19720417","女","有","有","無","有","会社員"
"002632279","19790923","女","有","無","無","有","会社員"
"002632507","19930813","女","有","無","有","無","会社員"
"002632517","19800411","女","有","無","有","無",""
"002632518","19800523","女","有","無","無","有","会社員"
"002632519","19870812","女","有","無","有","無","会社員"
"002652165","19651207","女","有","有","無","有","会社員"
"002652252","19890212","女","有","無","有","無","会社員"
"002711224","19670203","女","有","無","有","無",""
"002712524","19870922","女","無","有","無","有","会社員"
"002712575","19741003","女","有","無","無","有",""
"002722007","19740818","女","有","無","有","有","会社員"
"002722349","19790426","男","有","無","無","有","会社員"
"002722379","19901117","女","有","無","無","有","会社員"
"002722424","19901126","女","有","無","有","無","パート・アルバイト"
"002722451","19771104","女","有","有","無","有","パート・アルバイト"
"002722485","19950625","女","有","無","有","無",""
"002752182","19750107","女","有","無","有","有","会社員"
"002752219","19740511","女","有","有","無","有",""
"002752281","19720111","女","有","無","無","有","会社員"
"002812133","19680429","女","有","有","有","有","会社員"
"002812166","19670517","女","有","有","有","無","会社員"
"002812277","19540621","女","有","有","無","有","その他"
"002812718","19670527","男","有","無","無","有","会社員"
"002812725","19770622","女","有","無","無","有","主婦"
"002812729","19870111","女","有","無","有","無",""
"002812738","19800506","男","有","無","無","有","自営業"
"002812739","19930916","女","有","無","無","有","パート・アルバイト"
"002812740","19900618","女","有","無","無","有","会社員"
"002852125","19780807","女","有","有","有","有","会社員"
"002852169","19680820","女","有","有","有","無","会社員"
"002852345","19780311","女","有","無","有","無","パート・アルバイト"
"002852364","19900923","女","有","無","無","有","会社員"
"002852368","19620329","女","無","有","無","有","会社員"
"002852369","19841115","女","有","無","有","無","会社員"
"002912118","19861219","女","有","有","無","有","自営業"
"002912264","19760606","女","有","無","有","無","会社員"
"002912282","19980902","男","有","無","有","無","学生"
"002912316","19840110","女","有","無","無","有","会社員"
"003112049","19700518","男","有","無","無","有","会社員"
"003122063","19950607","女","有","無","有","無","その他"
"003122077","19950908","","有","無","有","無",""
"003122083","19930813","女","有","無","無","有","その他"
"003122090","19810924","女","有","無","有","無","学生"
"003210149","19740911","女","有","有","無","有",""
"003222027","19970401","女","有","無","有","有","会社員"
"003222028","19920429","女","有","無","有","無",""
"003332053","19971127","女","有","無","有","無","その他"
"003342015","19741018","女","有","無","無","有",""
"003412085","19960220","男","有","無","有","無","会社員"
"003452002","19590215","女","有","無","有","無",""
"003452010","19821107","女","有","無","無","有","会社員"
"003512047","19980506","女","有","無","有","無","学生"
"003632034","19700113","男","有","無","有","無","会社員"
"003712033","19711121","女","有","有","有","無","その他"
"003722051","19810407","女","無","有","無","有","自営業"
"003812035","19971029","女","有","無","有","無","会社員"
"003812036","19980520","女","有","無","有","無","会社員"
"004122066","19891101","女","有","無","有","無","会社員"
"005111146","19680822","男","有","有","有","無","会社員"
"005141032","19781119","女","有","無","有","無","会社員"
"005222012","19740714","女","有","無","有","有","会社員"
"005332132","19760212","女","有","有","無","有","会社員"
"005342037","19600221","女","有","有","無","有","会社員"
"005411031","19690608","男","有","有","無","有","会社員"
"005412116","19711216","女","有","無","無","有","自営業"
"005412221","19881231","男","有","有","無","有","会社員"
"005511131","19780804","女","有","無","無","有",""
"005522020","19791006","女","有","有","有","有","その他"
"005522050","19841126","女","有","無","有","無","パート・アルバイト"
"005652029","19760319","男","有","有","無","有","その他"
"005711086","19811202","女","有","無","無","有","主婦"
"005752067","19870827","男","有","無","有","有","会社員"
"006112072","19780423","女","有","有","無","有","会社員"
"006112114","19670904","男","有","有","有","有","会社員"
"006112388","19700909","女","有","無","無","有","自営業"
"006112396","19711111","女","有","無","有","無","主婦"
"006112433","19700314","女","有","無","無","有","主婦"
"006112434","19961009","女","有","無","有","無","会社員"
"006112435","19960120","女","有","無","無","有","学生"
"006112436","19610504","女","有","無","有","無","自営業"
"006121155","19850518","女","有","有","有","無","パート・アルバイト"
"006122048","19880426","女","有","無","有","無","学生"
"006122292","19740326","女","有","有","無","有","会社員"
"006122540","19930524","男","有","無","無","有","学生"
"006122632","19840907","男","有","無","有","有","会社員"
"006122698","19970602","女","有","無","有","有","学生"
"006122735","19850919","女","有","無","無","有",""
"006122736","19871019","女","有","無","無","有","会社員"
"006122762","19800614","男","有","無","有","無","自営業"
"006122763","19940714","男","有","無","有","無","会社員"
"006122772","19760718","女","有","無","無","有","主婦"
"006122773","19930522","女","有","無","無","有","会社員"
"006132191","19870710","女","有","無","有","無","会社員"
"006132195","19950830","女","有","無","有","無","会社員"
"006141027","19850930","女","有","有","無","有","会社員"
"006142101","19931115","女","有","無","有","無","その他"
"006152160","19710301","女","有","有","有","無","パート・アルバイト"
"006152189","19580512","女","有","有","無","有","主婦"
"006152195","19690507","女","有","無","無","有","会社員"
"006152218","19720929","女","有","無","有","有","会社員"
"006152221","19670110","女","有","有","有","有","会社員"
"006152301","19890320","女","有","有","無","有","その他"
"006152313","19640616","女","有","有","有","有","パート・アルバイト"
"006152332","19780711","女","有","有","有","有","会社員"
"006152517","19921008","女","有","有","無","有","会社員"
"006152550","19910529","女","有","無","無","有","会社員"
"006152598","19811002","男","有","無","有","無","会社員"
"006152634","20010505","男","有","無","無","有","学生"
"006152645","19770201","女","有","無","有","無","主婦"
"006152647","19881213","女","有","無","有","無",""
"006152658","19830918","女","有","無","無","有","会社員"
"006152667","19701111","男","有","有","有","無","自営業"
"006152668","19910526","女","有","無","無","有","パート・アルバイト"
"006152669","19510227","女","有","無","無","有","会社員"
"006152670","19771121","女","有","無","有","無","主婦"
"006152671","19670103","女","有","無","無","有",""
"006212125","19741228","女","有","無","無","有","会社員"
"006212360","19791013","女","有","無","有","有","会社員"
"006212398","19770928","男","有","無","有","無","会社員"
"006212467","19640908","女","有","無","有","無","自営業"
"006212477","19810616","女","有","無","無","有","会社員"
"006212495","19911210","女","有","無","有","無","その他"
"006212514","19940227","女","有","無","有","無","会社員"
"006212541","19940413","女","有","無","有","無","パート・アルバイト"
"006212579","19730813","男","有","有","無","有","自営業"
"006212589","19910703","女","有","無","有","無","会社員"
"006212590","19921203","男","有","無","無","有","会社員"
"006222235","19930620","女","有","無","無","有","会社員"
"006222236","19950304","女","有","無","有","無",""
"006232219","19610609","女","有","有","有","無","パート・アルバイト"
"006232230","19720526","女","有","無","無","有","会社員"
"006232244","19900402","女","有","無","有","無","会社員"
"006232260","19930213","女","有","無","有","無","パート・アルバイト"
"006232262","19791128","女","有","無","無","有","会社員"
"006232263","19980206","女","有","無","無","有","会社員"
"006252219","19860223","女","有","無","無","有","会社員"
"006252378","19921208","女","有","無","有","無","会社員"
"006252382","19840806","女","有","無","有","無","会社員"
"006252391","19920205","女","有","無","無","有","会社員"
"006312039","19810812","女","有","無","有","無","パート・アルバイト"
"006312116","19830728","男","有","無","無","有","会社員"
"006312500","19701106","男","有","無","無","有","会社員"
"006312535","19940617","女","有","無","無","有","会社員"
"006312559","19890829","女","有","無","無","有","会社員"
"006312570","19960212","女","有","無","無","有","会社員"
"006322157","19810916","男","有","無","無","有","会社員"
"006322190","19930208","女","有","無","有","有","会社員"
"006322269","19951219","女","有","有","有","無","学生"
"006322270","19851203","女","有","無","有","無","会社員"
"006322334","19640724","女","有","無","有","無",""
"006322338","19960923","女","有","無","有","無",""
"006331012","19760717","女","有","有","無","有","会社員"
"006332200","19780424","男","有","無","有","無","会社員"
"006332288","19910424","女","有","無","有","無","会社員"
"006332295","19910822","女","有","無","有","無","会社員"
"006342072","19890825","女","有","無","有","無","会社員"
"006342084","19791210","女","無","有","無","有","会社員"
"006342087","19780511","男","有","無","無","有","会社員"
"006412148","19640215","女","有","有","有","有","その他"
"006412190","19630919","女","有","有","無","有","パート・アルバイト"
"006412327","19860922","女","有","無","有","無","会社員"
"006412555","19820521","男","有","無","有","無","会社員"
"006412644","19820507","女","有","無","無","有","主婦"
"006412666","19970615","女","有","無","有","無","学生"
"006412670","19850612","女","有","無","有","無","会社員"
"006412675","19870214","男","有","無","無","有","自営業"
"006412677","19890321","女","有","無","有","無","会社員"
"006412678","19940422","女","有","無","無","有","会社員"
"006422007","19681127","女","有","無","有","有","会社員"
"006422044","19920201","男","有","無","有","無",""
"006432044","19750326","女","有","無","無","有","会社員"
"006432132","19880917","女","有","無","無","有","パート・アルバイト"
"006452035","19810428","女","有","無","有","有","自営業"
"006452136","19920326","女","有","無","有","無","その他"
"006452139","19951219","女","有","無","有","無","会社員"
"006512336","19790314","女","有","有","無","有","会社員"
"006512348","19870603","女","有","無","無","有","パート・アルバイト"
"006512415","19761224","女","有","無","無","有","主婦"
"006522053","19671009","女","有","有","有","有","会社員"
"006542018","19970106","女","有","無","無","有","会社員"
"006552073","19870202","女","有","無","無","有","会社員"
"006612107","19851209","女","有","無","有","有","会社員"
"006612335","19760207","女","有","無","有","有","会社員"
"006612343","19880402","女","有","無","無","有","会社員"
"006612346","19901001","女","有","無","無","有",""
"006612356","19800515","女","有","無","無","有","その他"
"006621006","19610913","女","有","無","無","有","会社員"
"006622158","19830923","女","有","無","有","無","会社員"
"006622170","19800817","男","有","無","無","有","会社員"
"006622194","19920511","女","有","無","無","有","会社員"
"006631018","19830816","男","有","無","有","有","会社員"
"006632263","19780503","男","有","無","無","有","会社員"
"006632266","19680808","男","有","無","有","無","会社員"
"006632270","19850312","女","有","無","有","無","会社員"
"006632274","19811104","女","有","無","無","有","パート・アルバイト"
"006632289","19820730","女","有","無","無","有",""
"006632291","19830211","女","有","無","無","有","会社員"
"006632294","19870926","女","有","無","無","有",""
"006632296","19800727","女","有","無","無","有","会社員"
"006632298","19910202","女","有","無","無","有","会社員"
"006632299","19790220","女","有","無","無","有","会社員"
"006652135","19750213","女","有","無","無","有","会社員"
"006652146","19860722","男","有","無","無","有","会社員"
"006652156","19770331","女","無","有","無","有",""
"006712061","19660129","女","有","有","無","有","会社員"
"006712073","19850212","女","有","有","有","有","パート・アルバイト"
"006712234","19911115","女","有","無","有","有","会社員"
"006722126","19771120","女","有","無","無","有","その他"
"006722275","19910317","女","有","無","無","有","会社員"
"006732092","19860816","女","有","無","無","有","会社員"
"006732117","19840726","男","有","無","有","無","会社員"
"006752151","19900829","女","有","無","無","有",""
"006752152","19930404","女","有","無","有","無","会社員"
"006811119","19870802","男","有","無","無","有","会社員"
"006812142","19770329","女","有","無","無","有","会社員"
"006812210","19741128","女","有","有","有","有","自営業"
"006812330","19751227","男","有","無","有","無","会社員"
"006812417","19960220","女","有","無","有","無",""
"006812423","19781208","女","有","無","有","無","会社員"
"006812436","19620114","女","有","無","無","有","パート・アルバイト"
"006812442","19940117","女","有","無","無","有",""
"006812445","19880902","女","有","無","有","無","主婦"
"006852180","19920621","女","有","無","無","有","会社員"
"006852232","19910119","女","有","無","有","無","会社員"
"006912130","19851107","女","有","無","有","無","会社員"
"006912175","19830206","男","有","無","無","有","会社員"
"006922021","19760317","男","有","無","無","有","会社員"
"006991031","19651224","女","無","有","無","有","会社員"
"007122101","19970810","女","有","無","無","有",""
"007132022","19790118","女","有","無","無","有","会社員"
"007152034","19940111","女","有","無","有","無","会社員"
"007152105","19900502","男","有","無","有","無",""
"007152106","19570713","女","無","有","無","有","自営業"
"007152107","19660212","女","有","無","有","無","会社員"
"007212075","19860908","女","有","無","有","無","会社員"
"007212076","19840121","男","有","無","無","有","会社員"
"007232028","19930827","女","有","無","有","無","会社員"
"007232030","19870606","男","有","無","有","無","自営業"
"007252061","19881118","男","有","無","無","有",""
"007252062","20010321","女","無","有","有","無","学生"
"007312039","19680524","男","有","有","有","無","会社員"
"007332035","19700917","女","有","無","有","無",""
"007332040","19760817","女","有","無","無","有",""
"007512075","19801015","女","有","有","有","無",""
"007622027","19940110","女","有","無","無","有",""
"007632028","19880508","女","有","無","有","無","会社員"
"007722036","19940105","女","有","無","有","無","その他"
"007752020","19590130","女","有","有","有","無","会社員"
"007812052","19871121","女","有","無","無","有",""
"007812053","19900525","女","有","無","無","有","主婦"
"007812054","19730921","女","有","無","有","無","会社員"
"007852032","19880309","女","有","無","無","有",""
"007912024","19960502","女","有","無","有","無","主婦"
"008511077","19740717","女","有","無","有","有","主婦"
"009111022","19770307","女","有","有","無","有","会社員"
"009112082","19730823","女","有","有","有","有","パート・アルバイト"
"009112196","19780307","男","有","有","有","無","会社員"
"009121106","19760302","女","有","有","有","無","主婦"
"009122300","19680524","女","有","無","有","有","主婦"
"009122305","19840104","男","有","無","無","有","会社員"
"009122352","19570407","女","有","有","有","無",""
"009122365","19571011","女","有","無","無","有","その他"
"009132090","19810325","","有","無","無","有","会社員"
"009152041","19870309","女","有","有","有","有","会社員"
"009152287","19970107","女","有","無","有","無","学生"
"009152288","19921018","女","有","無","有","無","会社員"
"009212167","19700509","女","有","無","無","有","自営業"
"009212205","19830313","女","有","無","無","有","主婦"
"009212273","19931004","女","有","無","有","無","その他"
"009232092","19770215","女","有","無","無","有",""
"009251021","19790926","男","有","無","無","有","自営業"
"009252084","19590318","女","有","有","無","有","会社員"
"009252149","19710403","男","有","無","無","有","自営業"
"009252182","19720914","女","有","無","無","有","会社員"
"009252183","19810324","女","有","無","無","有","会社員"
"009312200","19730502","女","有","無","有","無","会社員"
"009332109","19871117","男","有","無","無","有","会社員"
"009332119","19870926","女","有","無","有","有","会社員"
"009412264","19620218","女","有","無","無","有","主婦"
"009432031","19760621","女","有","無","有","無","主婦"
"009442018","19830825","女","有","無","無","有",""
"009451010","19750208","男","有","有","有","有","その他"
"009452046","19730924","女","有","無","無","有","会社員"
"009522045","19830619","女","有","無","有","無","パート・アルバイト"
"009551003","19560616","男","有","有","有","無","会社員"
"009552041","19751106","女","有","無","有","無","会社員"
"009622078","19900328","女","有","無","無","有",""
"009712162","19611015","男","有","無","有","無",""
"009722100","19770201","女","有","無","無","有","パート・アルバイト"
"009722108","19950805","女","有","無","無","有","その他"
"009752074","19810507","男","有","無","無","有","自営業"
"009912085","19711202","男","有","無","有","有","会社員"
"009912089","19911212","女","有","無","有","無","会社員"
"009922014","19770125","男","有","無","無","有","自営業"
"010112176","19940920","女","有","無","無","有","会社員"
"010122267","19780720","女","有","無","無","有","主婦"
"010122291","19781014","男","有","無","有","無","会社員"
"010212214","19851127","女","有","無","無","有",""
"010221108","19780821","男","有","無","有","無",""
"010312194","19800112","女","有","有","無","有",""
"010312223","19891208","女","有","無","無","有",""
"010321078","19631009","男","有","有","無","有","会社員"
"010342016","19640311","男","有","無","無","有",""
"010412119","19941120","女","有","有","有","有","パート・アルバイト"
"010412247","19940724","女","有","無","有","無","パート・アルバイト"
"010412248","19880412","女","有","無","有","無","パート・アルバイト"
"010412249","19830819","女","有","無","有","無","主婦"
"010612104","19690223","男","有","無","有","無","会社員"
"010711001","19720906","女","有","有","有","無","主婦"
"010712115","19770414","女","有","有","有","無","その他"
"010722089","19741019","女","有","無","有","無",""
"010852087","19741218","男","有","無","有","無","会社員"
"010912073","","女","有","無","無","無",""
"011112194","19971025","男","有","無","有","無","会社員"
"011122167","19831116","女","有","有","有","有","会社員"
"011122280","19920813","女","有","無","有","無","会社員"
"011122345","19950120","女","有","無","有","無","会社員"
"011122349","19820717","女","有","無","有","無",""
"011122352","19951023","女","有","無","有","無",""
"011122359","19640801","女","有","有","有","無","パート・アルバイト"
"011122360","19970530","女","有","無","有","無","会社員"
"011152198","19800802","男","有","無","有","無","会社員"
"011152276","19861025","男","有","無","有","無",""
"011212243","19880620","女","有","無","有","無","会社員"
"011212247","19960122","女","有","無","有","無",""
"011212255","19780508","男","有","無","有","無","会社員"
"011212259","19540812","女","有","無","有","無","パート・アルバイト"
"011222077","19770425","女","有","無","有","有","自営業"
"011232095","19800301","女","有","無","無","有","会社員"
"011232096","19720828","男","有","無","無","有","会社員"
"011252075","19880523","女","有","有","有","有","会社員"
"011252154","19740501","男","有","無","有","有","会社員"
"011312019","19600929","女","有","有","有","有","主婦"
"011312218","19710528","女","有","有","有","有","自営業"
"011322034","19760126","女","有","無","無","有","会社員"
"011322099","19790411","男","有","無","有","無","その他"
"011322116","19680909","女","有","無","有","無","パート・アルバイト"
"011332112","19690605","男","有","無","有","無",""
"011332113","19771105","女","有","無","有","無","会社員"
"011332114","19970217","女","有","無","有","有",""
"011332115","19950824","女","有","無","有","無","パート・アルバイト"
"011412215","19891108","男","有","無","無","有","自営業"
"011412281","19560117","男","有","有","有","無",""
"011412285","19910423","女","有","無","有","無","会社員"
"011412288","19961006","女","有","無","有","無","学生"
"011432056","19811021","女","有","無","無","有","会社員"
"011512011","19840821","男","有","有","無","有","会社員"
"011512028","19780807","女","有","無","有","有","自営業"
"011512193","19610414","男","有","無","有","有","会社員"
"011512196","19960523","女","有","無","無","有","学生"
"011612101","19870331","男","有","無","無","有","会社員"
"011612131","19990112","男","有","無","無","有","その他"
"011612133","19921114","男","有","無","有","無","会社員"
"011612135","19840122","女","有","無","有","無","会社員"
"011632146","19850202","女","有","無","無","有","会社員"
"011632147","19790325","","有","無","無","有",""
"011712051","19740903","女","有","無","有","有","自営業"
"011712140","19760721","女","有","無","無","有",""
"011712147","19880801","女","有","無","有","無","会社員"
"011732048","19890428","女","有","無","無","有","会社員"
"011812053","19800614","女","有","有","無","有","会社員"
"011812151","19920103","女","有","無","有","無","会社員"
"011812160","19810910","男","有","無","有","無","会社員"
"011852086","19850318","女","有","無","有","有",""
"011922006","19950110","女","有","無","無","有","学生"
"012151053","19720623","女","有","無","有","無",""
"012152146","19540609","男","有","無","有","無","その他"
"012412144","19651027","女","有","無","無","有",""
"012512077","19830119","女","有","有","有","無","自営業"
"012542009","19831121","男","有","無","有","無",""
"012611018","19460704","男","有","有","無","有","その他"
"012612073","19941014","女","有","無","有","無","会社員"
"012712077","19741126","女","有","有","有","無","会社員"
"012722053","19860301","男","有","無","無","有","その他"
"012812110","19820720","女","有","無","無","有","会社員"
"012812128","19961211","男","有","無","有","無","学生"
"014111048","19630623","女","有","有","有","有","会社員"
"014121052","19800313","男","有","有","無","有","会社員"
"014122257","19700504","男","有","有","有","有",""
"014132111","19620508","女","有","有","有","無","会社員"
"014212302","19700428","女","有","無","無","有","会社員"
"014222079","19610111","男","有","有","有","無","会社員"
"014252067","19850212","女","有","有","無","有","会社員"
